#z T0 errT0up errT0down
#Becker et al. 2011 (http://mnras.oxfordjournals.org/content/410/2/1096.full.pdf)
2.0 10680 820  820
2.4 11080 580  580
2.8 11640 500  500
3.2 10980 700  700
3.6  9590 680  680
4.0  8670 780  780
4.4  7920 880  880
4.8  8120 1840 1840
#Boera et al. 2014 (http://mnras.oxfordjournals.org/content/441/3/1916.full.pdf)
1.63 13000 1270 1270
1.82 21790 510  510 
2.00 12600 380  380 
2.18 14050 510  510 
2.38 13200 620  620 
2.60 12770 590  590 
2.80 12900 510  510 
#Bolton et al. 2014 (http://mnras.oxfordjournals.org/content/438/3/2499.full.pdf)
2.4 11500 1900 1900
#Garzilli et al. 2012 (http://mnras.oxfordjournals.org/content/424/3/1723.full.pdf)
2.1 17000 2000 2000
2.5 13000 4000 4000
2.9 19000 4000 4000
#Lidz et al. 2010 (http://iopscience.iop.org/article/10.1088/0004-637X/718/1/199/pdf)
2.2 20826 4200 4200
2.6 15521 3000 3000
3.0 19565 3400 3400
3.4 26086 2500 2500
4.2 19608 3500 3500
#Schaye et al. 2000 ()
1.95 10665 3000 1200
2.20 13800 5000 6000
2.27 11776 1750 1850
2.50 13900 2530 4000
2.60 15770 1400 2350
2.66 22540 6900 1000
2.84 17140 3080 5200
3.01 22750 4550 3370
3.09 19590 1520 1500
3.24 22390 8500 10800
3.36 15400 1700 9990
3.54 10900 2100 2880
3.72 12650 1780 3420
3.84 13180 2440 4200
3.90 15300 3960 4690
4.30 11450 2165 8540
#Lidz et al 2014 ()
2.2 20870 6670 8000
2.6 15580 6110 5990
3.0 19540 6890 4310
3.4 25940 4880 5480
4.2 19440 9840 9950
#Bolton et al. 2010 ()
6.0 23600 5000 6900
#Boera et al. 2018 (https://arxiv.org/pdf/1809.06980.pdf)
4.2 8130 1340 970
4.6 7310 1350 880
5.0 7370 1670 1390
#Hiss et al. 2018 (https://arxiv.org/pdf/1710.00700.pdf)
2.0 13721 1694 2152
2.2 10972 1961 3843
2.4 13334 1206 1530
2.6 16281 1940 1601
2.8 20036 1416 1507
3.0 18371 1087 1388
3.2 16244 1153 1135
3.4 13439 1542 2318
#Walther et al. 2018 (https://arxiv.org/pdf/1808.04367.pdf)
1.8  6840 1800 1220
2.0  7340  930  710
2.2  7890  850  680
2.4  8310 1120  780
2.6 10000 1460  900
2.8 10000 1120  870
3.0 14290 3130 2710
3.2 11150 2300 1490
3.4 13300 2950 2150
3.6 10100 3600 2960
3.8 10290 2870 2460
4.0  8630 2710 1870
4.2  9050 1220  820
4.6  9100 1190 1170
5.0  5350 1170  920
5.4  5970 1520 1320
#Rorai et al. 2018 (http://adsabs.harvard.edu/abs/2018MNRAS.474.2871R)
2.75 15600 4400 4400
