## Syphers & Shull 2014 ##
#z eta eta_dn eta_up
2.7411 91.6220 54.7016 1018.5914
2.7431 153.4617 100.9253 1018.5914
2.7451 29.3765 21.7771 43.8531
2.7491 65.7658 47.4242 107.1519
2.7511 205.1162 129.4196 1028.0163
2.7531 127.6439 90.3649 207.0141
2.7551 167.4943 123.0269 259.4179
2.7571 110.6624 87.9023 149.2794
2.7592 93.3254 69.8232 143.8799
2.7612 311.8890 207.9697 1018.5914
2.7651 143.2188 83.5603 325.0873
2.7711 138.6756 102.8016 208.9296
2.7731 94.6237 75.1623 127.0574
2.7751 106.6596 86.6962 138.0384
2.7771 82.7942 61.9441 125.3141
2.7891 91.2011 63.0957 138.6756
2.7911 179.4734 133.0454 270.3958
2.7931 92.8966 69.1831 139.9587
2.7951 69.8232 44.0555 145.8814
2.7972 95.9401 77.2681 124.7384
2.7991 307.6097 183.6538 1037.5284
2.8011 74.1310 46.5586 133.6596
2.8031 89.9498 62.5173 139.9587
2.8051 145.8814 114.2878 197.6970
2.8091 84.3335 61.9441 119.6741
2.8111 13.3660 9.9083 19.1426
2.8131 42.8549 30.9030 62.8058
2.8151 40.7380 26.4241 73.7904
2.8171 85.1138 58.3445 143.2188
2.8191 87.9023 59.7035 199.5262
2.8231 172.9816 131.2200 255.8586
2.8251 46.5586 24.5471 113.7627
2.8271 156.3148 82.7942 1047.1285
2.8291 95.4993 78.7046 124.1652
2.8411 112.7197 68.5488 1028.0163
2.8451 54.2001 39.8107 77.9830
2.8471 6.1944 5.2723 7.3114
2.8491 42.6580 33.7287 58.8844
2.8511 140.6048 73.7904 1028.0163
2.8531 53.7032 37.8443 80.9096
2.8551 134.8963 105.6818 195.8845
2.8571 106.6596 80.1678 177.8279
2.8591 199.5262 121.8990 469.8941
2.8612 48.9779 32.3594 80.9096
2.8671 325.0873 203.2357 666.8068
2.8731 61.6595 41.8794 141.2538
2.8791 41.1150 25.4683 1037.5284
2.8811 74.4732 45.7088 1047.1285
2.8951 84.7227 43.2514 1028.0163
2.8972 154.8817 119.1242 234.4229
2.9092 276.6942 218.7762 1032.7614
2.9171 82.7942 37.4973 1028.0163
2.9191 50.3501 40.5509 68.5488
2.9211 112.2018 87.4984 164.4372
2.9311 67.6083 54.2001 89.5365
3.0306 18.6209 15.7761 22.9087
3.0316 25.4683 16.2930 48.9779
