#z  tau
#from Becker+2015
6.253692641374547  6.481445310133408
6.103787759454252  5.270641834991337
5.954506900604636  5.563484350955423
5.954319087835791  5.1109307031467734
5.937409880163337  4.366503895600334
5.904282131129664  4.541879824061845
5.837838820293472  4.440078033176218
5.681796701765441  4.440989228028936
5.4528832289255895  4.851085073125811
5.283161070653952  3.888572501787251
5.582037829126731  4.062009717796169
5.781597983739049  4.922158271637849
5.801124453222504  3.973139138969332
5.814337990282204  3.8124780380229977
5.807619139938689  3.622736250287778
5.7346508500042415  3.7983448242435998
5.711253014092016  3.418919410146737
5.628161010069188  3.2004265167395713
5.654697136764047  3.1418774006712793
5.654678961334804  3.0980818863672166
5.651334682354081  3.0397072544196586
5.535090695391922  2.938196270401919
5.584958014758449  3.0984890159822616
5.482072968289934  3.1866810454506904
5.372578124053363  3.3479043730082756
5.25297168268124  3.1442232427389163
5.080238461631669  2.9262538016939503
5.070132922972531  2.5759478486350256
5.103254613529789  2.385973415405493
5.172993735535387  2.4293618000945134
5.212834276436162  2.4291291546002025
5.252650583431279  2.3705024900338056
5.29588387112409  2.5454325146312202
5.262731888184759  2.662414424020647
5.226265918646778  2.7940142253026217
5.1897635982503125  2.838022997976469
5.315907135673521  2.7934907729404213
5.332555828860158  2.9101818754619595
5.4022888923893415  2.9389717553829557
5.432132947206437  2.851206242654097
5.491808939887797  2.646478207660338
5.501793309018648  2.7048140653588444
5.5648741654448735  2.704445709992852
5.551575809715374  2.6607277441868913
5.531625246882914  2.587851543093943
5.50836675592822  2.544191738661561
5.551515224951229  2.5147426965066826
5.521580292987919  2.3835306377152268
5.508263761829175  2.2960171576052044
5.511529280616511  2.164611227568491
5.4750633110785305  2.2962110288504647
5.47174932447988  2.3108289207430097
5.461764955349029  2.252493063044506
5.43513189303154  2.077466102824463
5.415363084491512  2.4425450447721406
5.402107138096911  2.501016612342328
5.382223218505011  2.5887239636976087
5.365550291412715  2.413638842103987
5.342273625028778  2.3261835233675434
5.32239576391329  2.4284893794908466
5.348847071938349  2.1655611966702626
5.362109076809364  2.121688133868094
5.3852948660470865  1.9901658810842235
5.358643628300355  1.7713434065601188
5.322201892668032  1.961337226914175
5.282415878054986  2.092956415320675
5.611227568491076  2.397605690121047
5.644458311623793  2.4704043427158933
5.661125180239673  2.630890959541495
5.621296756291727  2.660320614571847
5.700947545711204  2.5868627997431206
5.664354348168523  2.4118940008966554
5.684226150807595  2.2949896400053316
5.774043063650353  2.7178228259157393
5.8536999115462445  2.6589635158550324
5.229264864471883  2.0202740854729857
5.206024548946431  2.0204097953446674
5.209380944879982  2.1079814368282666
5.172872566007101  2.1373917047340942
5.1662324758569715  2.1374304789831466
5.129669570696361  2.0354542039767836
5.129675629172776  2.050052708744804
5.112966351221996  1.7873765585430572
5.059821396115305  1.7292927334633887
5.039943534999818  1.8315985895866902
5.059881980879448  1.8752777811435983
5.059948624120006  2.0358613335918285
5.0101600649468665  2.065349149995761
4.980370536417501  2.284501205636806
4.947115559379127  2.153308533969879
4.920506730967297  2.0366755928219167

